log(Y),environment,16th perc.,median.,84 perc.,median (all S/N)
hcn_co21,disc,-1.9632307683061665,-1.723478661447532,-1.5084359899553728,-1.8698363447315185
hcn_co21,centre,-1.6025406687059296,-1.353350042298691,-1.0361059333857412,-1.354224628274467
hcn_co21,centre (AGN),-1.4273359643546883,-1.299392478837638,-1.026814267190952,-1.2812036140896417
hcn_co21,centre (non-AGN),-1.6232113332070879,-1.4319725274747923,-1.215817010265026,-1.4319725274747923
sfr_hcn,disc,-7.205957058892088,-6.928691589147709,-6.56167039660671,-6.846633481216155
sfr_hcn,centre,-7.386787900886429,-7.133606836564379,-6.573743534681621,-7.111648386069678
sfr_hcn,centre (AGN),-7.44433996711113,-7.190970221521839,-6.700569114864752,-7.228137001419573
sfr_hcn,centre (non-AGN),-7.308469458547457,-7.105758394871605,-6.5715120153224555,-7.105758394871605
