log(Y),log(X),x0,m,m_err,b,b_err,sigma,r_pearson,p_value
HCN/CO,Sd_star,2.4,0.5471988822021334,0.03285849731031415,-1.7062820079367989,0.014461071088989249,0.2137603419179659,0.7664849221331727,1.9241877069699304e-59
HCN/CO,Sd_mol_SL24,1.4,0.6547774228428547,0.049281908393809803,-1.7906870326585609,0.016876103572638648,0.2271844322831879,0.6985219552897017,4.5138058594879755e-45
HCN/CO,P_DE_SL24,5.0,0.4763333624999724,0.03548797292732195,-1.814755740695254,0.0175028699014022,0.2196398849642722,0.7578432870079681,5.762643047603895e-47
SFR/HCN,Sd_star,2.4,-0.6085416635930078,0.044070236929905054,-6.844243954694825,0.01911349091928735,0.281417516784686,-0.7041951106076427,3.933424664338583e-47
SFR/HCN,Sd_mol_SL24,1.4,-0.6728411645146752,0.07699512213588255,-6.76603444694991,0.024999218121073398,0.3416034488852726,-0.5592925919753211,9.571272158312827e-27
SFR/HCN,P_DE_SL24,5.0,-0.5526764669982991,0.0509725882988172,-6.7281660121863265,0.02577834615923395,0.3356661259723348,-0.6577381011517669,1.307857132156271e-32
