data,SFR/HCN (16th),SFR/HCN (median),SFR/HCN (84th),TIR/HCN (16th),TIR/HCN (median),TIR/HCN (84th),t_depl_dense (16th),t_depl_dense (median),t_depl_dense (84th),e_ff_dense (16th),e_ff_dense (median),e_ff_dense (84th),scatter
clouds and clumps,-7.433738284605043,-6.89305828460511,-6.269602284605047,2.3959999999999995,2.9366799999999325,3.5601359999999955,7.445693543660728,8.069149543660792,8.609829543660725,-2.7049374945343687,-2.1642574945344357,-1.540801494534372,0.7005526979489554
parts of galaxies,-7.233415176672552,-6.9793445073350355,-6.646639443749357,2.59632310793249,2.850393777270007,3.1830988408556853,7.822730702805038,8.155435766390717,8.409506435728234,-2.5046143866018773,-2.2505437172643603,-1.9178386536786818,0.4589198917318127
entire galaxies,-7.158021884605043,-6.849568284605042,-6.560555884605042,2.6717163999999993,2.98017,3.2691824000000014,7.736647143660723,8.025659543660723,8.334113143660725,-2.4292210945343684,-2.120767494534367,-1.831755094534366,0.2737155763743312
combined,-7.166664324311216,-6.872101660164914,-6.481848748611062,2.663073960293827,2.9576366244401284,3.3478895359939806,7.657940007666744,8.048192919220595,8.342755583366898,-2.4378635342405413,-2.1433008700942384,-1.7530479585403869,0.520008339585327
ALMOND & EMPIRE,-7.136145162635681,-6.842825186310227,-6.444446889883621,2.693593121969361,2.9869130982948153,3.3852913947214214,7.6205381489393025,8.018916445365909,8.312236421691363,-2.4073443725650066,-2.114024396239552,-1.7156460998129461,0.34892815162731083
