Survey,Galaxy,W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol (MW) [Msun/pc2],e_SD_mol (MW) [Msun/pc2],SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_star [Msun/pc2],e_SD_star [Msun/pc2],P_DE (MW) [kB.K/cm3],e_P_DE (MW) [kB.K/cm3],P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Reference
ALMOND,ngc0628,5.8870496448016505,0.0951606816583965,9.477845390484761,0.1532037747987785,0.2173551825170997,0.02355029901075738,0.08984352358964283,0.03726377946583205,40.73222923998361,0.6584124364172074,17.263317499642397,0.279051334721103,3.2210729541581236,0.34900125374245256,1104.8022718577442,0.41834063841263247,317157.22504022584,6737.508955311413,133279.36280565578,3573.558479990914,0.016605842563487374,0.00035910279178946676,0.0168082157371396,0.0003634791292962188,Neumann23
ALMOND,ngc1097,135.41175912380527,0.09761678177587522,142.72367835062835,0.10288786035978924,13.427909431187233,0.2303052218162244,9.679438765766747,0.20716049372285997,410.57414950819515,0.2959781884135586,151.15123429966465,0.10896318864223846,133.20053750003228,2.2845536374959714,2155.235179444742,0.4293789604887482,8268858.436352399,9988.895961938297,1745586.5184641785,1806.463608841211,0.5251431644671656,0.00020924405452630484,0.794093062597865,0.0003164075309973441,Neumann23
ALMOND,ngc1365,221.26403973811014,0.5075480873498702,226.3467459439069,0.5192070890401893,25.310239475905146,0.13625177360559418,20.44276089168675,0.15832582301007497,559.1036899535637,1.2825039658593456,202.76561881429012,0.46511535327346815,215.58391758283236,1.1605457609149183,1801.6426291970704,0.20634730061713089,,,,,0.8222901171715705,0.0001452576835560747,1.4480922337088964,0.0002558057296950433,Neumann23
ALMOND,ngc1385,9.962273542963196,0.07688503272352247,12.8315433570845,0.09902896428693093,0.28565091226929007,0.09363480038637188,0.3019571785737402,0.12064313854227009,40.15154328887031,0.3098743179808838,24.182574265823906,0.18663189740259395,3.0822010529751704,1.0103285792202332,283.6814494086037,0.36249720657841517,301256.66297788336,2970.686427223926,197642.0418691615,2046.7844529153535,0.08780228982146529,0.00031943151363295665,0.12205954651769536,0.00044406206007588416,Neumann23
ALMOND,ngc1511,13.74636419603627,0.14772682619062205,18.243106124627673,0.19605156165053741,0.35317431870370525,0.11170808234556769,0.7425831533971076,0.15644033864747015,23.59893003170495,0.253608516794831,16.557689267112643,0.17793904261509239,1.5753775282803326,0.498287653814762,171.98580819698645,0.1396334144509465,124467.95261315124,1264.543131013512,91015.92964951595,804.3894595240309,0.07950594879706567,8.008939649217339e-05,0.26735933573281273,0.0002693213296535066,Neumann23
ALMOND,ngc1546,28.754761871048366,0.08772764018184724,42.021014753285655,0.12820152985039956,1.1966403001939168,0.17589982413821184,1.3563160762600863,0.16187904981104834,61.61811899944652,0.18799015608292383,31.520798289042972,0.09616651540870265,6.050726568500143,0.8894249501166782,548.4107018665844,0.33252756711547177,,,,,0.02636678262706338,6.727707615209571e-05,0.07821760160735015,0.0001995788266699898,Neumann23
ALMOND,ngc1566,24.70135277371581,0.11420647507677321,32.26823724708342,0.14919189514397066,1.1950670647098973,0.1318525815444289,1.751909202711523,0.13290047668830415,122.16907177383499,0.5648475684108106,45.6646651725113,0.21113015520603354,15.602001402006538,1.7213796805736066,1972.5459598192963,0.3554049177207305,1329544.7420527118,8982.963891341997,391023.3500239159,2981.93499002104,0.07250268993272882,0.00017350001547934376,0.0833023673780097,0.00019934380425003201,Neumann23
ALMOND,ngc1672,81.51088898763587,0.3872369296220332,84.5237095901755,0.40155005286384227,7.877531557888837,0.06352181263266941,7.410202609503016,0.08994390560951551,270.64680543518904,1.2857722354694456,100.75480865203996,0.47865976229249113,86.97942050183633,0.7013733187121024,1275.6442098849682,0.3580137361382839,3733285.8249294483,31145.523945324698,840799.9380178748,7785.087442307276,0.45850213100054493,0.0001396369336210561,0.6228826862970108,0.00018969907103890305,Neumann23
ALMOND,ngc1792,24.19815652679263,0.050812825882849626,34.71821054570974,0.07290350343299855,1.598223988184128,0.1614607298612862,1.4390400717684275,0.14997647737525385,63.58660356862867,0.13352318851384717,33.64533528690079,0.07065061182699892,10.0936430521281,1.019711245860831,461.3822573175885,0.28342447472677434,,,,,0.03547618793479863,0.00011838538033287405,0.08425931193609432,0.00028117650939480575,Neumann23
ALMOND,ngc2566,73.38078364258254,0.18825296859094864,76.39964774709046,0.1959976409865768,7.369237506338747,0.1817813118439121,8.07998804740693,0.15921927037240874,220.2141314912146,0.5649430534950289,89.69635685947131,0.2301093639560144,73.24506767645103,1.8067791242809959,626.6942099353885,0.32857890748820195,2420779.386427828,10452.443033438674,599465.3946264226,2375.041409653964,0.6320550103250892,0.0003680890633295918,0.9538724522855111,0.0005555054730395788,Neumann23
