Galaxy,SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc0628,5.841395273619611,5.228910884180758,1.0891237260075286,0.02445945844886206,1.8463983542479996,0.04164196097389518,0.01732256518334907,0.016917792459566698,0.0006754796195309622,0.018965008303597812,7.935128495455584,0.17896154985752472,7.023438215186773,0.1584001303870792,0.2567099875998456,0.2507114995120185,0.005504708201974308,0.00032119130134048053,0.005571793341713765,0.00032510561660351235,ALMOND
ngc0628,6.789591376038354,4.1028996747250295,1.2993380946202457,0.03398925204323392,2.2431679243973344,0.059587054413759596,0.009479421192240392,0.007376819986901782,0.029491082386812195,0.009064110012688927,9.640295484463184,0.25608283951891875,8.628274113717357,0.22919971060527727,0.14047931532985983,0.10932003126096647,0.005980748518612758,0.00021654713118814174,0.006053635097773083,0.00021918616200011556,ALMOND
ngc0628,8.289422789056582,3.3211452556362095,1.703722393899807,0.016434947662565074,2.93357533936398,0.028533275476161236,0.01391807445397717,0.006149816689912141,0.019738618225892422,0.007073979753216445,12.60740793848556,0.12262532989084325,10.092512818021863,0.09816432686052666,0.20625748453979476,0.09113658107207921,0.005658742823516524,0.00014364111671578676,0.0057277051625064645,0.00014539165171848758,ALMOND
ngc0628,10.21077977730137,2.3780238009903245,2.014531650110429,0.010482121332634327,3.456183948991433,0.018023691191550742,0.03144312147590832,0.005168801661546854,0.03284052158475075,0.005926854546084054,14.853383981891536,0.07745907335668925,11.813805628469638,0.06160794320761674,0.4659681310906346,0.07659852893595638,0.006716543135347345,8.34897032236778e-05,0.006798396744706559,8.450718102668969e-05,ALMOND
ngc0628,12.310738416066528,2.659314940608806,2.558101716480408,0.007920878409454133,4.35124955011005,0.01369137385264137,0.040944383465293235,0.004949861545937438,0.02188682519476441,0.0030734491647651943,18.700040658332902,0.0588403962503953,13.883650902756285,0.04368544087396471,0.6067711138857225,0.07335396822752119,0.007125949930377184,7.744609980751031e-05,0.0072127929253763155,7.83899250271649e-05,ALMOND
ngc0628,14.922798485343623,3.3849186084588756,2.993432111502093,0.011035319074432814,5.053984666154598,0.018594851375469706,0.03637520475694764,0.005877182154841908,0.046806970230287945,0.006944596128161646,21.720132953829715,0.07991370587976193,16.39972755684702,0.06033862717470243,0.5390586361351205,0.08709630139199791,0.00894594405367598,8.132076880808437e-05,0.009054967072684867,8.231181409859656e-05,ALMOND
ngc0628,17.91449858910122,4.837615166756006,3.704191468470774,0.00916396014195668,6.174096770014211,0.015025919522605326,0.06741949943108756,0.007257345620381127,0.03900819896150345,0.011187768931676926,26.533955200254496,0.06457577364057437,19.982416971102797,0.04863127360315772,0.9991163941226502,0.10754949307430701,0.010681304164831878,9.684282113384995e-05,0.010811475784508359,9.802303159190794e-05,ALMOND
ngc0628,21.995772414486495,8.042494004665995,3.7498714786876617,0.009715610468350573,6.253366019853024,0.016040863601346596,0.06100622019099926,0.008450295342426297,0.0734782964709666,0.006299728755309453,26.874624743076705,0.06893762310928986,22.969755299271874,0.0589210211815793,0.9040754566649614,0.12522828978322767,0.01089545436740318,0.00013112579968411467,0.011028235806844417,0.000132723812198584,ALMOND
ngc0628,26.880903521453725,10.175743562910162,4.370490763719447,0.01365610270219097,7.233944728716182,0.02239221132780836,0.08986325578592055,0.013660827799333346,0.11377731357453871,0.012208913070142343,31.088784724770438,0.09623333652500082,27.673429581192377,0.0856613240197173,1.3317193518578754,0.2024452439839217,0.015008728882573916,0.00013572809745484812,0.015191638246241547,0.00013738219755429816,ALMOND
ngc0628,32.395713024095386,26.503493145538364,4.995992609377329,0.03425608695826908,8.525806061406007,0.05858119424569146,0.018343127709764907,0.02901569972467309,0.15641764791022672,0.02013412731258206,36.640720822210966,0.2517600292955897,32.580712377625886,0.2238635299360718,0.27183410984895146,0.4299952020778939,0.009901472305137894,0.0002932062016977009,0.010022140218648425,0.00029677946630894973,ALMOND
ngc1097,6.056157673418975,1.2825680158858297,1.07342994266148,0.029642707117772154,2.014153129032475,0.06610964383532357,0.005462837195319519,0.007500127152275085,0.029017944206417373,0.006943035971423952,5.794127628214521,0.19017804968069738,5.292645595056721,0.17371813006286702,0.05418958583394266,0.07439884615853408,0.003124131622662047,4.411251994343919e-05,0.004724142702525184,6.6704564452129e-05,ALMOND
ngc1097,8.212910487234332,1.8453981756322368,1.3677574533671477,0.02745622831699073,2.5253203446258885,0.06076686754475598,0.021602244109111268,0.007449198999644065,0.0013632105571019792,0.00847015132067205,7.264605738252763,0.17480844978765564,6.70710968907394,0.1613934037918998,0.21428730520459863,0.07389365528432547,0.0035824069775519897,4.6788392980849014e-05,0.005417121883634627,7.075087479029333e-05,ALMOND
