Name,L_CO [K.km/s.pc2],L_HCN [K.km/s.pc2],L_TIR [Lsun],M_mol [Msun],M_dense [Msun],SFR [Msun/yr],Type,Target,Reference,Publication date
Chin97,,198.90696921029473,336643.3190687781,,2983.604538154421,4.982321122217916e-05,clouds and clumps,NaN,1997A&A...317..548C,01/1997
Chin97,,517.6425881987891,1383598.2371317528,,7764.638822981837,0.00020477253909549943,clouds and clumps,NaN,1997A&A...317..548C,01/1997
Chin97,,325.91924079493947,862978.5477669702,,4888.788611924092,0.0001277208250695116,clouds and clumps,NaN,1997A&A...317..548C,01/1997
Chin97,,584.7362254675913,1067087.4200130985,,8771.04338201387,0.0001579289381619386,clouds and clumps,NaN,1997A&A...317..548C,01/1997
Chin98,,36.57968825959227,133020.93617885138,,548.695323893884,1.9687098554470005e-05,clouds and clumps,NaN,1998A&A...330..901C,02/1998
Gao04,,43999728.83599888,35002575415.843414,,659995932.5399832,5.180381161544825,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,342003066.43263364,140993794935.87247,,5130045996.489505,20.867081650509125,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,327001692.1283102,213993213245.5939,,4905025381.924653,31.670995560347897,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,49000442.27932357,15999263828.686003,,735006634.1898535,2.3678910466455285,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,281002381.1286974,113998726556.99785,,4215035716.930461,16.871811530435682,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,3760018658.0590677,2344768656101.48,,56400279870.88602,347.0257611030191,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,402995317.50197697,537031796370.25323,,6044929762.5296545,79.48070586279748,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,218997925.03530538,407005239440.2339,,3284968875.5295806,60.23677543715462,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,56999362.70941421,38001435294.15863,,854990440.641213,5.624212423535478,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,74999781.82030028,29998531811.907932,,1124996727.3045042,4.439782708162374,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1519987442.4986854,1298972628897.8545,,22799811637.48028,192.24794907688246,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,138000290.30247262,111995352238.48901,,2070004354.5370893,16.575312131296375,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,112000509.9338192,73994595431.2723,,1680007649.007288,10.9512001238283,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,334996292.0357088,269029559170.4617,,5024944380.535632,39.81637475722833,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,35000157.60710141,13999096265.683447,,525002364.1065211,2.07186624732115,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1859987390.521894,3035288664474.2017,,27899810857.82841,449.22272234218184,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,920004602.5155091,1401845009798.4814,,13800069037.732637,207.47306145017527,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1099993198.935193,612068458870.4592,,16499897984.027897,90.58613191282797,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,949992113.6225947,372992414752.4734,,14249881704.33892,55.202877383366065,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,210000341.02666122,628058358813.318,,3150005115.399918,92.95263710437106,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,649994976.198144,213993213245.5939,,9749924642.97216,31.670995560347897,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,129998996.53754526,223975234517.84152,,1949984948.063179,33.14833470864055,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,64000003.83387624,84996295944.96184,,960000057.5081435,12.579451799854352,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,89999479.96372022,62001186420.87254,,1349992199.4558032,9.176175590289137,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,49000442.27932357,47000231817.98014,,735006634.1898535,6.956034309061061,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,26999765.98401209,26001595631.652668,,404996489.76018137,3.848236153484595,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,49999999.5007974,41995233466.40664,,749999992.511961,6.2152945530281825,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1499995651.3820403,1420038110542.1548,,22499934770.730602,210.1656403602389,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,272998336.0600826,138006645597.03348,,4094975040.9012394,20.424983548360956,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,26999765.98401209,20999067037.624283,,404996489.76018137,3.107861921568394,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,40999635.90417645,13999096265.683447,,614994538.5626467,2.07186624732115,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,619997588.0723242,1181136253934.0542,,9299963821.084862,174.80816558224004,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,980008855.3709308,870963589956.0796,,14700132830.563961,128.9026113134998,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,10000000.0,11000185275.062195,,150000000.0,1.628027420709205,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,47000231.81798014,13999096265.683447,,705003477.2697021,2.07186624732115,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,309998790.9411186,129003056421.7989,,4649981864.116779,19.09245235042624,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,266999224.5265219,251015188099.53262,,4004988367.8978286,37.15024783873083,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,95999727.43924806,100000000000.0,,1439995911.5887208,14.8,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,361002325.87645894,283008839178.7947,,5415034888.146884,41.885308198461615,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,20000000.199681044,26001595631.652668,,300000002.99521565,3.848236153484595,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,24999999.500797402,26001595631.652668,,374999992.51196104,3.848236153484595,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,188999214.84603408,256980399540.22693,,2834988222.690511,38.033099131953584,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,430001529.151271,466015111702.18427,,6450022937.269065,68.97023653192328,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,25999799.567092456,36999853117.28588,,389996993.5063868,5.475978261358311,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,850002102.5917181,466981848557.83655,,12750031538.87577,69.11331358655981,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,36999853.11728596,20999067037.624283,,554997796.7592894,3.107861921568394,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,40000000.798724174,62001186420.87254,,600000011.9808626,9.176175590289137,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,124999996.25598028,386011283745.32056,,1874999943.8397043,57.12966999430744,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,8999947.996372022,8300036457.551301,,134999219.94558033,1.2284053957175927,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,4000000.0798724173,2599979956.7092457,,60000001.19808626,0.38479703359296835,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,8000000.239617253,19998618696.32745,,120000003.59425879,2.959795567056463,entire galaxies,NaN,2004ApJ...606..271G,05/2004
